Entity,Code,Date,TotalTests
Argentina,ARG,09-Apr-20,1520
Argentina,ARG,10-Apr-20,1529
Argentina,ARG,11-Apr-20,1648
Argentina,ARG,14-Apr-20,3047
Argentina,ARG,15-Apr-20,1569
Argentina,ARG,16-Apr-20,2083
Argentina,ARG,17-Apr-20,2193
Argentina,ARG,18-Apr-20,2292
Argentina,ARG,19-Apr-20,1770
Argentina,ARG,20-Apr-20,1856
Argentina,ARG,21-Apr-20,2043
Argentina,ARG,22-Apr-20,2617
Argentina,ARG,23-Apr-20,2558
Argentina,ARG,24-Apr-20,2868
Argentina,ARG,25-Apr-20,2752
Argentina,ARG,26-Apr-20,2499
Argentina,ARG,27-Apr-20,1995
Argentina,ARG,28-Apr-20,1700
Argentina,ARG,29-Apr-20,2458
Argentina,ARG,30-Apr-20,2627
Argentina,ARG,01-May-20,2845
Argentina,ARG,02-May-20,2336
Argentina,ARG,03-May-20,1947
Argentina,ARG,04-May-20,2107
Argentina,ARG,05-May-20,1798
Argentina,ARG,06-May-20,2597
Argentina,ARG,07-May-20,2883
Argentina,ARG,08-May-20,2703
Argentina,ARG,09-May-20,2828
Argentina,ARG,10-May-20,2289
Argentina,ARG,11-May-20,2140
Argentina,ARG,12-May-20,2389
Australia,AUS,06-Apr-20,5509
Australia,AUS,07-Apr-20,8037
Australia,AUS,08-Apr-20,8668
Australia,AUS,09-Apr-20,10766
Australia,AUS,10-Apr-20,8212
Australia,AUS,11-Apr-20,9501
Australia,AUS,12-Apr-20,6094
Australia,AUS,13-Apr-20,8195
Australia,AUS,14-Apr-20,4357
Australia,AUS,15-Apr-20,4884
Australia,AUS,16-Apr-20,8626
Australia,AUS,17-Apr-20,11527
Australia,AUS,18-Apr-20,14980
Australia,AUS,19-Apr-20,14486
Australia,AUS,20-Apr-20,10738
Australia,AUS,21-Apr-20,8108
Australia,AUS,22-Apr-20,12599
Australia,AUS,23-Apr-20,14218
Australia,AUS,24-Apr-20,15711
Australia,AUS,25-Apr-20,11887
Australia,AUS,26-Apr-20,12192
Australia,AUS,27-Apr-20,10614
Australia,AUS,28-Apr-20,13616
Australia,AUS,29-Apr-20,13731
Australia,AUS,30-Apr-20,19231
Australia,AUS,01-May-20,25227
Australia,AUS,02-May-20,22715
Australia,AUS,03-May-20,21524
Australia,AUS,04-May-20,17107
Australia,AUS,05-May-20,14542
Australia,AUS,06-May-20,23900
Australia,AUS,07-May-20,33893
Australia,AUS,08-May-20,34701
Australia,AUS,09-May-20,38206
Australia,AUS,10-May-20,32416
Australia,AUS,11-May-20,27247
Australia,AUS,12-May-20,22808
Austria,AUT,26-Feb-20,103
Austria,AUT,27-Feb-20,126
Austria,AUT,28-Feb-20,316
Austria,AUT,29-Feb-20,886
Austria,AUT,04-Mar-20,455
Austria,AUT,05-Mar-20,573
Austria,AUT,06-Mar-20,289
Austria,AUT,07-Mar-20,308
Austria,AUT,08-Mar-20,201
Austria,AUT,09-Mar-20,225
Austria,AUT,10-Mar-20,292
Austria,AUT,11-Mar-20,336
Austria,AUT,12-Mar-20,507
Austria,AUT,13-Mar-20,713
Austria,AUT,14-Mar-20,885
Austria,AUT,15-Mar-20,700
Austria,AUT,16-Mar-20,323
Austria,AUT,17-Mar-20,1788
Austria,AUT,18-Mar-20,1699
Austria,AUT,19-Mar-20,1747
Austria,AUT,20-Mar-20,1889
Austria,AUT,21-Mar-20,2932
Austria,AUT,22-Mar-20,2823
Austria,AUT,23-Mar-20,2061
Austria,AUT,24-Mar-20,4962
Austria,AUT,25-Mar-20,4016
Austria,AUT,26-Mar-20,3588
Austria,AUT,27-Mar-20,3557
Austria,AUT,28-Mar-20,3198
Austria,AUT,29-Mar-20,3691
Austria,AUT,30-Mar-20,3014
Austria,AUT,31-Mar-20,2889
Austria,AUT,01-Apr-20,3519
Austria,AUT,02-Apr-20,36327
Austria,AUT,03-Apr-20,6153
Austria,AUT,04-Apr-20,5791
Austria,AUT,05-Apr-20,4282
Austria,AUT,06-Apr-20,2880
Austria,AUT,07-Apr-20,3939
Austria,AUT,08-Apr-20,5520
Austria,AUT,09-Apr-20,5532
Austria,AUT,10-Apr-20,8456
Austria,AUT,11-Apr-20,6232
Austria,AUT,12-Apr-20,3902
Austria,AUT,13-Apr-20,3535
Austria,AUT,14-Apr-20,3384
Austria,AUT,15-Apr-20,5005
Austria,AUT,16-Apr-20,6015
Austria,AUT,17-Apr-20,6456
Austria,AUT,18-Apr-20,6660
Austria,AUT,19-Apr-20,3311
Austria,AUT,20-Apr-20,3706
Austria,AUT,21-Apr-20,6069
Austria,AUT,22-Apr-20,12776
Austria,AUT,23-Apr-20,4041
Austria,AUT,24-Apr-20,6851
Austria,AUT,25-Apr-20,8403
Austria,AUT,26-Apr-20,6542
Austria,AUT,27-Apr-20,4906
Austria,AUT,28-Apr-20,7041
Austria,AUT,29-Apr-20,8176
Austria,AUT,30-Apr-20,8645
Austria,AUT,01-May-20,7680
Austria,AUT,02-May-20,5540
Austria,AUT,03-May-20,4736
Austria,AUT,04-May-20,4716
Austria,AUT,05-May-20,6812
Austria,AUT,06-May-20,6371
Austria,AUT,07-May-20,5640
Austria,AUT,08-May-20,6175
Austria,AUT,09-May-20,7621
Austria,AUT,10-May-20,4818
Austria,AUT,11-May-20,2976
Austria,AUT,12-May-20,9830
Bahrain,BHR,10-Mar-20,524
Bahrain,BHR,11-Mar-20,456
Bahrain,BHR,12-Mar-20,232
Bahrain,BHR,17-Mar-20,1422
Bahrain,BHR,30-Mar-20,701
Bahrain,BHR,04-Apr-20,1260
Bahrain,BHR,05-Apr-20,5130
Bahrain,BHR,06-Apr-20,3298
Bahrain,BHR,07-Apr-20,2443
Bahrain,BHR,08-Apr-20,2677
Bahrain,BHR,09-Apr-20,2292
Bahrain,BHR,10-Apr-20,2585
Bahrain,BHR,11-Apr-20,3025
Bahrain,BHR,12-Apr-20,3267
Bahrain,BHR,13-Apr-20,3354
Bahrain,BHR,14-Apr-20,3486
Bahrain,BHR,15-Apr-20,2459
Bahrain,BHR,16-Apr-20,3672
Bahrain,BHR,17-Apr-20,2668
Bahrain,BHR,18-Apr-20,2956
Bahrain,BHR,19-Apr-20,4164
Bahrain,BHR,20-Apr-20,3575
Bahrain,BHR,21-Apr-20,4073
Bahrain,BHR,22-Apr-20,3416
Bahrain,BHR,23-Apr-20,2235
Bahrain,BHR,24-Apr-20,5334
Bahrain,BHR,25-Apr-20,5042
Bahrain,BHR,26-Apr-20,3703
Bahrain,BHR,27-Apr-20,3687
Bahrain,BHR,28-Apr-20,3909
Bahrain,BHR,29-Apr-20,5199
Bahrain,BHR,30-Apr-20,2789
Bahrain,BHR,01-May-20,4388
Bahrain,BHR,02-May-20,4196
Bahrain,BHR,03-May-20,5877
Bahrain,BHR,04-May-20,5431
Bahrain,BHR,05-May-20,5915
Bahrain,BHR,06-May-20,4840
Bahrain,BHR,07-May-20,6037
Bahrain,BHR,08-May-20,5780
Bahrain,BHR,09-May-20,6195
Bahrain,BHR,10-May-20,5676
Bahrain,BHR,11-May-20,6751
Bahrain,BHR,12-May-20,7118
Bangladesh,BGD,05-Mar-20,3
Bangladesh,BGD,08-Mar-20,7
Bangladesh,BGD,09-Mar-20,10
Bangladesh,BGD,10-Mar-20,10
Bangladesh,BGD,11-Mar-20,16
Bangladesh,BGD,12-Mar-20,24
Bangladesh,BGD,13-Mar-20,24
Bangladesh,BGD,14-Mar-20,30
Bangladesh,BGD,15-Mar-20,27
Bangladesh,BGD,16-Mar-20,25
Bangladesh,BGD,17-Mar-20,49
Bangladesh,BGD,18-Mar-20,39
Bangladesh,BGD,19-Mar-20,46
Bangladesh,BGD,20-Mar-20,36
Bangladesh,BGD,21-Mar-20,36
Bangladesh,BGD,22-Mar-20,65
Bangladesh,BGD,23-Mar-20,56
Bangladesh,BGD,24-Mar-20,92
Bangladesh,BGD,25-Mar-20,82
Bangladesh,BGD,26-Mar-20,126
Bangladesh,BGD,27-Mar-20,106
Bangladesh,BGD,28-Mar-20,50
Bangladesh,BGD,29-Mar-20,109
Bangladesh,BGD,30-Mar-20,153
Bangladesh,BGD,31-Mar-20,264
Bangladesh,BGD,01-Apr-20,157
Bangladesh,BGD,02-Apr-20,147
Bangladesh,BGD,03-Apr-20,207
Bangladesh,BGD,04-Apr-20,434
Bangladesh,BGD,05-Apr-20,367
Bangladesh,BGD,06-Apr-20,696
Bangladesh,BGD,07-Apr-20,792
Bangladesh,BGD,08-Apr-20,981
Bangladesh,BGD,09-Apr-20,1097
Bangladesh,BGD,10-Apr-20,1184
Bangladesh,BGD,11-Apr-20,649
Bangladesh,BGD,12-Apr-20,1340
Bangladesh,BGD,13-Apr-20,1570
Bangladesh,BGD,14-Apr-20,1905
Bangladesh,BGD,15-Apr-20,1740
Bangladesh,BGD,16-Apr-20,2135
Bangladesh,BGD,17-Apr-20,2190
Bangladesh,BGD,18-Apr-20,2114
Bangladesh,BGD,19-Apr-20,2634
Bangladesh,BGD,20-Apr-20,2663
Bangladesh,BGD,21-Apr-20,2974
Bangladesh,BGD,22-Apr-20,3096
Bangladesh,BGD,23-Apr-20,3416
Bangladesh,BGD,24-Apr-20,3686
Bangladesh,BGD,25-Apr-20,3236
Bangladesh,BGD,26-Apr-20,3473
Bangladesh,BGD,27-Apr-20,3812
Bangladesh,BGD,28-Apr-20,4436
Bangladesh,BGD,29-Apr-20,4968
Bangladesh,BGD,30-Apr-20,4965
Bangladesh,BGD,01-May-20,5573
Bangladesh,BGD,02-May-20,5827
Bangladesh,BGD,03-May-20,5388
Bangladesh,BGD,04-May-20,6244
Bangladesh,BGD,05-May-20,5705
Bangladesh,BGD,06-May-20,6241
Bangladesh,BGD,07-May-20,5867
Bangladesh,BGD,08-May-20,5943
Bangladesh,BGD,09-May-20,5465
Bangladesh,BGD,10-May-20,5738
Bangladesh,BGD,11-May-20,7208
Bangladesh,BGD,12-May-20,6773
Belarus,BLR,31-Mar-20,1000
Belarus,BLR,01-Apr-20,1000
Belarus,BLR,09-Apr-20,3000
Belarus,BLR,13-Apr-20,4000
Belarus,BLR,14-Apr-20,3875
Belarus,BLR,15-Apr-20,4323
Belarus,BLR,18-Apr-20,5896
Belarus,BLR,19-Apr-20,5522
Belarus,BLR,20-Apr-20,4335
Belarus,BLR,21-Apr-20,5979
Belarus,BLR,22-Apr-20,6410
Belarus,BLR,23-Apr-20,7588
Belarus,BLR,24-Apr-20,8281
Belarus,BLR,25-Apr-20,8471
Belarus,BLR,26-Apr-20,8230
Belarus,BLR,27-Apr-20,6275
Belarus,BLR,28-Apr-20,7228
Belarus,BLR,29-Apr-20,7958
Belarus,BLR,30-Apr-20,7639
Belarus,BLR,01-May-20,9637
Belarus,BLR,02-May-20,9168
Belarus,BLR,03-May-20,8809
Belarus,BLR,04-May-20,7130
Belarus,BLR,08-May-20,10680
Belarus,BLR,09-May-20,11625
Belarus,BLR,10-May-20,11772
Belarus,BLR,11-May-20,10517
Belarus,BLR,12-May-20,10385
Belgium,BEL,01-Mar-20,56
Belgium,BEL,02-Mar-20,274
Belgium,BEL,03-Mar-20,476
Belgium,BEL,04-Mar-20,652
Belgium,BEL,05-Mar-20,705
Belgium,BEL,06-Mar-20,1028
Belgium,BEL,07-Mar-20,405
Belgium,BEL,08-Mar-20,417
Belgium,BEL,09-Mar-20,519
Belgium,BEL,10-Mar-20,695
Belgium,BEL,11-Mar-20,934
Belgium,BEL,12-Mar-20,1308
Belgium,BEL,13-Mar-20,2168
Belgium,BEL,14-Mar-20,1797
Belgium,BEL,15-Mar-20,1066
Belgium,BEL,16-Mar-20,1500
Belgium,BEL,17-Mar-20,1837
Belgium,BEL,18-Mar-20,2155
Belgium,BEL,19-Mar-20,2596
Belgium,BEL,20-Mar-20,2530
Belgium,BEL,21-Mar-20,1807
Belgium,BEL,22-Mar-20,1105
Belgium,BEL,23-Mar-20,2502
Belgium,BEL,24-Mar-20,3042
Belgium,BEL,25-Mar-20,3353
Belgium,BEL,26-Mar-20,3212
Belgium,BEL,27-Mar-20,3781
Belgium,BEL,28-Mar-20,2986
Belgium,BEL,29-Mar-20,1878
Belgium,BEL,30-Mar-20,3092
Belgium,BEL,31-Mar-20,4784
Belgium,BEL,01-Apr-20,4215
Belgium,BEL,02-Apr-20,4334
Belgium,BEL,03-Apr-20,4624
Belgium,BEL,04-Apr-20,3845
Belgium,BEL,05-Apr-20,2346
Belgium,BEL,06-Apr-20,3918
Belgium,BEL,07-Apr-20,5180
Belgium,BEL,08-Apr-20,5207
Belgium,BEL,09-Apr-20,5223
Belgium,BEL,10-Apr-20,5771
Belgium,BEL,11-Apr-20,5954
Belgium,BEL,12-Apr-20,5601
Belgium,BEL,13-Apr-20,5233
Belgium,BEL,14-Apr-20,5683
Belgium,BEL,15-Apr-20,7251
Belgium,BEL,16-Apr-20,7047
Belgium,BEL,17-Apr-20,8118
Belgium,BEL,18-Apr-20,8072
Belgium,BEL,19-Apr-20,5726
Belgium,BEL,20-Apr-20,8928
Belgium,BEL,21-Apr-20,7357
Belgium,BEL,22-Apr-20,12585
Belgium,BEL,23-Apr-20,13835
Belgium,BEL,24-Apr-20,15565
Belgium,BEL,25-Apr-20,14543
Belgium,BEL,26-Apr-20,12040
Belgium,BEL,27-Apr-20,14712
Belgium,BEL,28-Apr-20,16828
Belgium,BEL,29-Apr-20,19825
Belgium,BEL,30-Apr-20,21509
Belgium,BEL,01-May-20,21564
Belgium,BEL,02-May-20,14917
Belgium,BEL,03-May-20,12110
Belgium,BEL,04-May-20,20731
Belgium,BEL,05-May-20,17721
Belgium,BEL,06-May-20,17234
Belgium,BEL,07-May-20,18172
Belgium,BEL,08-May-20,21971
Belgium,BEL,09-May-20,17664
Belgium,BEL,10-May-20,10044
Bolivia,BOL,22-Mar-20,39
Bolivia,BOL,23-Mar-20,95
Bolivia,BOL,24-Mar-20,4
Bolivia,BOL,25-Mar-20,57
Bolivia,BOL,26-Mar-20,108
Bolivia,BOL,27-Mar-20,74
Bolivia,BOL,28-Mar-20,43
Bolivia,BOL,29-Mar-20,15
Bolivia,BOL,30-Mar-20,123
Bolivia,BOL,31-Mar-20,82
Bolivia,BOL,01-Apr-20,57
Bolivia,BOL,02-Apr-20,149
Bolivia,BOL,03-Apr-20,133
Bolivia,BOL,04-Apr-20,18
Bolivia,BOL,05-Apr-20,305
Bolivia,BOL,06-Apr-20,11
Bolivia,BOL,07-Apr-20,16
Bolivia,BOL,08-Apr-20,54
Bolivia,BOL,09-Apr-20,475
Bolivia,BOL,10-Apr-20,188
Bolivia,BOL,11-Apr-20,171
Bolivia,BOL,12-Apr-20,172
Bolivia,BOL,13-Apr-20,165
Bolivia,BOL,14-Apr-20,226
Bolivia,BOL,15-Apr-20,311
Bolivia,BOL,16-Apr-20,189
Bolivia,BOL,17-Apr-20,154
Bolivia,BOL,18-Apr-20,27
Bolivia,BOL,19-Apr-20,535
Bolivia,BOL,20-Apr-20,163
Bolivia,BOL,21-Apr-20,122
Bolivia,BOL,22-Apr-20,390
Bolivia,BOL,23-Apr-20,185
Bolivia,BOL,24-Apr-20,302
Bolivia,BOL,25-Apr-20,59
Bolivia,BOL,26-Apr-20,435
Bolivia,BOL,27-Apr-20,197
Bolivia,BOL,28-Apr-20,133
Bolivia,BOL,29-Apr-20,288
Bolivia,BOL,30-Apr-20,142
Bolivia,BOL,01-May-20,62
Bolivia,BOL,02-May-20,943
Bolivia,BOL,03-May-20,124
Bolivia,BOL,04-May-20,87
Bolivia,BOL,05-May-20,121
Bolivia,BOL,06-May-20,84
Bolivia,BOL,07-May-20,195
Bolivia,BOL,08-May-20,185
Bolivia,BOL,09-May-20,171
Bolivia,BOL,10-May-20,119
Bolivia,BOL,11-May-20,275
Bulgaria,BGR,02-May-20,1126
Bulgaria,BGR,03-May-20,982
Bulgaria,BGR,04-May-20,527
Bulgaria,BGR,05-May-20,1158
Bulgaria,BGR,06-May-20,1465
Bulgaria,BGR,07-May-20,1163
Bulgaria,BGR,08-May-20,1397
Bulgaria,BGR,09-May-20,1777
Bulgaria,BGR,10-May-20,1126
Bulgaria,BGR,11-May-20,403
Bulgaria,BGR,12-May-20,1079
Canada,CAN,19-Mar-20,981
Canada,CAN,20-Mar-20,21858
Canada,CAN,21-Mar-20,12069
Canada,CAN,22-Mar-20,9941
Canada,CAN,23-Mar-20,8323
Canada,CAN,24-Mar-20,17915
Canada,CAN,25-Mar-20,17092
Canada,CAN,26-Mar-20,19449
Canada,CAN,27-Mar-20,9041
Canada,CAN,28-Mar-20,13557
Canada,CAN,29-Mar-20,26234
Canada,CAN,30-Mar-20,30703
Canada,CAN,02-Apr-20,11221
Canada,CAN,03-Apr-20,26911
Canada,CAN,04-Apr-20,16906
Canada,CAN,05-Apr-20,22878
Canada,CAN,06-Apr-20,1957
Canada,CAN,07-Apr-20,9701
Canada,CAN,08-Apr-20,12762
Canada,CAN,09-Apr-20,14312
Canada,CAN,10-Apr-20,9741
Canada,CAN,11-Apr-20,18230
Canada,CAN,12-Apr-20,3099
Canada,CAN,13-Apr-20,24269
Canada,CAN,14-Apr-20,21797
Canada,CAN,15-Apr-20,11636
Canada,CAN,16-Apr-20,24707
Canada,CAN,17-Apr-20,15943
Canada,CAN,18-Apr-20,13213
Canada,CAN,19-Apr-20,19846
Canada,CAN,20-Apr-20,19489
Canada,CAN,21-Apr-20,10380
Canada,CAN,22-Apr-20,10417
Canada,CAN,23-Apr-20,43753
Canada,CAN,24-Apr-20,23297
Canada,CAN,25-Apr-20,26160
Canada,CAN,26-Apr-20,22105
Canada,CAN,27-Apr-20,25788
Canada,CAN,28-Apr-20,23408
Canada,CAN,29-Apr-20,17553
Canada,CAN,30-Apr-20,29871
Canada,CAN,01-May-20,43939
Canada,CAN,04-May-20,25878
Canada,CAN,05-May-20,21199
Canada,CAN,06-May-20,1959
Canada,CAN,07-May-20,59356
Canada,CAN,08-May-20,30130
Canada,CAN,09-May-20,35583
Canada,CAN,10-May-20,25633
Canada,CAN,11-May-20,25722
Canada,CAN,12-May-20,26733
Chile,CHL,02-Apr-20,2685
Chile,CHL,03-Apr-20,3405
Chile,CHL,04-Apr-20,4483
Chile,CHL,05-Apr-20,3343
Chile,CHL,06-Apr-20,2908
Chile,CHL,07-Apr-20,2258
Chile,CHL,08-Apr-20,3269
Chile,CHL,09-Apr-20,7962
Chile,CHL,10-Apr-20,4444
Chile,CHL,11-Apr-20,3577
Chile,CHL,12-Apr-20,5897
Chile,CHL,13-Apr-20,2764
Chile,CHL,14-Apr-20,2759
Chile,CHL,15-Apr-20,4079
Chile,CHL,16-Apr-20,6551
Chile,CHL,17-Apr-20,5449
Chile,CHL,18-Apr-20,5018
Chile,CHL,19-Apr-20,4758
Chile,CHL,20-Apr-20,5178
Chile,CHL,21-Apr-20,3530
Chile,CHL,22-Apr-20,6365
Chile,CHL,23-Apr-20,6425
Chile,CHL,24-Apr-20,7120
Chile,CHL,25-Apr-20,6945
Chile,CHL,26-Apr-20,6763
Chile,CHL,27-Apr-20,5260
Chile,CHL,28-Apr-20,4930
Chile,CHL,29-Apr-20,6454
Chile,CHL,30-Apr-20,7898
Chile,CHL,01-May-20,8916
Chile,CHL,02-May-20,9967
Chile,CHL,03-May-20,6818
Chile,CHL,04-May-20,7913
Chile,CHL,05-May-20,7964
Chile,CHL,06-May-20,10013
Chile,CHL,07-May-20,12118
Chile,CHL,08-May-20,11735
Chile,CHL,09-May-20,11943
Chile,CHL,10-May-20,12780
Chile,CHL,11-May-20,13373
Chile,CHL,12-May-20,9283
Colombia,COL,06-Mar-20,103
Colombia,COL,07-Mar-20,71
Colombia,COL,08-Mar-20,3
Colombia,COL,09-Mar-20,38
Colombia,COL,10-Mar-20,76
Colombia,COL,11-Mar-20,206
Colombia,COL,12-Mar-20,260
Colombia,COL,13-Mar-20,361
Colombia,COL,14-Mar-20,589
Colombia,COL,15-Mar-20,833
Colombia,COL,16-Mar-20,431
Colombia,COL,17-Mar-20,324
Colombia,COL,18-Mar-20,759
Colombia,COL,19-Mar-20,673
Colombia,COL,20-Mar-20,403
Colombia,COL,21-Mar-20,298
Colombia,COL,22-Mar-20,846
Colombia,COL,23-Mar-20,375
Colombia,COL,24-Mar-20,766
Colombia,COL,25-Mar-20,746
Colombia,COL,26-Mar-20,431
Colombia,COL,27-Mar-20,258
Colombia,COL,28-Mar-20,1365
Colombia,COL,29-Mar-20,1474
Colombia,COL,30-Mar-20,1491
Colombia,COL,31-Mar-20,4047
Colombia,COL,01-Apr-20,2390
Colombia,COL,02-Apr-20,1159
Colombia,COL,03-Apr-20,1340
Colombia,COL,04-Apr-20,1237
Colombia,COL,05-Apr-20,1558
Colombia,COL,06-Apr-20,2421
Colombia,COL,07-Apr-20,2760
Colombia,COL,08-Apr-20,3130
Colombia,COL,09-Apr-20,1335
Colombia,COL,10-Apr-20,2683
Colombia,COL,11-Apr-20,2742
Colombia,COL,12-Apr-20,1162
Colombia,COL,13-Apr-20,1256
Colombia,COL,14-Apr-20,2315
Colombia,COL,15-Apr-20,3205
Colombia,COL,16-Apr-20,3457
Colombia,COL,17-Apr-20,3488
Colombia,COL,18-Apr-20,3429
Colombia,COL,19-Apr-20,3744
Colombia,COL,20-Apr-20,2423
Colombia,COL,21-Apr-20,3259
Colombia,COL,22-Apr-20,3051
Colombia,COL,23-Apr-20,3457
Colombia,COL,24-Apr-20,3121
Colombia,COL,25-Apr-20,3068
Colombia,COL,26-Apr-20,6053
Colombia,COL,27-Apr-20,3793
Colombia,COL,28-Apr-20,4186
Colombia,COL,29-Apr-20,5068
Colombia,COL,30-Apr-20,4504
Colombia,COL,01-May-20,4293
Colombia,COL,02-May-20,5652
Colombia,COL,03-May-20,4199
Colombia,COL,04-May-20,4228
Colombia,COL,05-May-20,4076
Colombia,COL,06-May-20,4005
Colombia,COL,07-May-20,4242
Colombia,COL,08-May-20,4387
Colombia,COL,09-May-20,5173
Colombia,COL,10-May-20,6484
Colombia,COL,11-May-20,7537
Costa Rica,CRI,11-Mar-20,68
Costa Rica,CRI,12-Mar-20,89
Costa Rica,CRI,13-Mar-20,86
Costa Rica,CRI,14-Mar-20,127
Costa Rica,CRI,15-Mar-20,43
Costa Rica,CRI,16-Mar-20,171
Costa Rica,CRI,17-Mar-20,114
Costa Rica,CRI,18-Mar-20,154
Costa Rica,CRI,19-Mar-20,116
Costa Rica,CRI,20-Mar-20,119
Costa Rica,CRI,21-Mar-20,148
Costa Rica,CRI,22-Mar-20,227
Costa Rica,CRI,23-Mar-20,157
Costa Rica,CRI,24-Mar-20,165
Costa Rica,CRI,25-Mar-20,29
Costa Rica,CRI,26-Mar-20,677
Costa Rica,CRI,27-Mar-20,487
Costa Rica,CRI,28-Mar-20,158
Costa Rica,CRI,29-Mar-20,222
Costa Rica,CRI,30-Mar-20,263
Costa Rica,CRI,31-Mar-20,153
Costa Rica,CRI,01-Apr-20,373
Costa Rica,CRI,02-Apr-20,132
Costa Rica,CRI,03-Apr-20,110
Costa Rica,CRI,04-Apr-20,194
Costa Rica,CRI,05-Apr-20,444
Costa Rica,CRI,06-Apr-20,265
Costa Rica,CRI,07-Apr-20,162
Costa Rica,CRI,08-Apr-20,510
Costa Rica,CRI,09-Apr-20,263
Costa Rica,CRI,10-Apr-20,154
Costa Rica,CRI,11-Apr-20,156
Costa Rica,CRI,12-Apr-20,154
Costa Rica,CRI,13-Apr-20,106
Costa Rica,CRI,14-Apr-20,76
Costa Rica,CRI,15-Apr-20,193
Costa Rica,CRI,16-Apr-20,214
Costa Rica,CRI,17-Apr-20,172
Costa Rica,CRI,18-Apr-20,227
Costa Rica,CRI,19-Apr-20,52
Costa Rica,CRI,20-Apr-20,96
Costa Rica,CRI,21-Apr-20,266
Costa Rica,CRI,22-Apr-20,301
Costa Rica,CRI,23-Apr-20,253
Costa Rica,CRI,24-Apr-20,102
Costa Rica,CRI,25-Apr-20,87
Costa Rica,CRI,26-Apr-20,37
Costa Rica,CRI,27-Apr-20,58
Costa Rica,CRI,28-Apr-20,59
Costa Rica,CRI,29-Apr-20,237
Costa Rica,CRI,30-Apr-20,109
Costa Rica,CRI,01-May-20,167
Costa Rica,CRI,02-May-20,91
Costa Rica,CRI,03-May-20,120
Costa Rica,CRI,04-May-20,106
Costa Rica,CRI,05-May-20,73
Costa Rica,CRI,06-May-20,209
Costa Rica,CRI,07-May-20,274
Costa Rica,CRI,08-May-20,452
Costa Rica,CRI,09-May-20,449
Costa Rica,CRI,10-May-20,592
Costa Rica,CRI,11-May-20,120
Costa Rica,CRI,12-May-20,73
Croatia,HRV,04-Mar-20,8
Croatia,HRV,05-Mar-20,18
Croatia,HRV,06-Mar-20,29
Croatia,HRV,07-Mar-20,15
Croatia,HRV,08-Mar-20,10
Croatia,HRV,09-Mar-20,17
Croatia,HRV,10-Mar-20,21
Croatia,HRV,13-Mar-20,70
Croatia,HRV,14-Mar-20,96
Croatia,HRV,15-Mar-20,96
Croatia,HRV,16-Mar-20,135
Croatia,HRV,17-Mar-20,229
Croatia,HRV,18-Mar-20,72
Croatia,HRV,19-Mar-20,83
Croatia,HRV,25-Mar-20,459
Croatia,HRV,26-Mar-20,590
Croatia,HRV,27-Mar-20,570
Croatia,HRV,28-Mar-20,437
Croatia,HRV,29-Mar-20,685
Croatia,HRV,30-Mar-20,504
Croatia,HRV,31-Mar-20,611
Croatia,HRV,01-Apr-20,665
Croatia,HRV,02-Apr-20,672
Croatia,HRV,03-Apr-20,898
Croatia,HRV,04-Apr-20,583
Croatia,HRV,05-Apr-20,1014
Croatia,HRV,06-Apr-20,617
Croatia,HRV,07-Apr-20,858
Croatia,HRV,08-Apr-20,803
Croatia,HRV,09-Apr-20,555
Croatia,HRV,10-Apr-20,932
Croatia,HRV,11-Apr-20,1079
Croatia,HRV,12-Apr-20,690
Croatia,HRV,13-Apr-20,1409
Croatia,HRV,14-Apr-20,569
Croatia,HRV,15-Apr-20,897
Croatia,HRV,16-Apr-20,902
Croatia,HRV,17-Apr-20,795
Croatia,HRV,18-Apr-20,694
Croatia,HRV,19-Apr-20,2539
Croatia,HRV,20-Apr-20,2424
Croatia,HRV,23-Apr-20,1239
Croatia,HRV,24-Apr-20,1360
Croatia,HRV,25-Apr-20,700
Croatia,HRV,26-Apr-20,709
Croatia,HRV,27-Apr-20,1195
Croatia,HRV,28-Apr-20,760
Croatia,HRV,29-Apr-20,899
Croatia,HRV,30-Apr-20,2441
Croatia,HRV,03-May-20,527
Croatia,HRV,04-May-20,956
Croatia,HRV,05-May-20,933
Croatia,HRV,06-May-20,1080
Croatia,HRV,07-May-20,885
Croatia,HRV,08-May-20,1440
Croatia,HRV,09-May-20,840
Croatia,HRV,10-May-20,668
Croatia,HRV,11-May-20,1185
Croatia,HRV,12-May-20,1409
Cuba,CUB,23-Mar-20,107
Cuba,CUB,24-Mar-20,113
Cuba,CUB,25-Mar-20,155
Cuba,CUB,26-Mar-20,146
Cuba,CUB,27-Mar-20,329
Cuba,CUB,28-Mar-20,297
Cuba,CUB,29-Mar-20,342
Cuba,CUB,30-Mar-20,315
Cuba,CUB,31-Mar-20,444
Cuba,CUB,01-Apr-20,576
Cuba,CUB,02-Apr-20,803
Cuba,CUB,03-Apr-20,1057
Cuba,CUB,04-Apr-20,1201
Cuba,CUB,05-Apr-20,764
Cuba,CUB,06-Apr-20,1056
Cuba,CUB,07-Apr-20,1187
Cuba,CUB,08-Apr-20,1315
Cuba,CUB,09-Apr-20,1298
Cuba,CUB,10-Apr-20,1139
Cuba,CUB,11-Apr-20,1895
Cuba,CUB,12-Apr-20,2076
Cuba,CUB,13-Apr-20,1634
Cuba,CUB,14-Apr-20,1684
Cuba,CUB,15-Apr-20,1386
Cuba,CUB,16-Apr-20,1480
Cuba,CUB,17-Apr-20,1895
